id,name,part,link
1,大間穴,1,https://www.tungs-acupuncture.com/大間穴/
2,側間穴,1,https://www.tungs-acupuncture.com/側間穴/
3,小間穴,1,https://www.tungs-acupuncture.com/小間穴/
4,中間穴,1,https://www.tungs-acupuncture.com/中間穴/
5,木一穴,1,https://www.tungs-acupuncture.com/木一穴/
6,木二穴,1,https://www.tungs-acupuncture.com/木二穴/
7,木三穴,1,https://www.tungs-acupuncture.com/木三穴/
8,心常一穴,1,https://www.tungs-acupuncture.com/心常一穴/
9,心常二穴,1,https://www.tungs-acupuncture.com/心常二穴/
10,心常三穴,1,https://www.tungs-acupuncture.com/心常三穴/
11,火星上穴,1,https://www.tungs-acupuncture.com/火星上穴/
12,火星下穴,1,https://www.tungs-acupuncture.com/火星下穴/
13,脾腫一穴,1,https://www.tungs-acupuncture.com/脾腫一穴/
14,脾腫二穴,1,https://www.tungs-acupuncture.com/脾腫二穴/
15,還巢穴,1,https://www.tungs-acupuncture.com/還巢穴/
16,復原一穴,1,https://www.tungs-acupuncture.com/復原一穴/
17,復原二穴,1,https://www.tungs-acupuncture.com/復原二穴/
18,復原三穴,1,https://www.tungs-acupuncture.com/復原三穴/
19,偏肩穴,1,https://www.tungs-acupuncture.com/偏肩穴/
20,木炎一穴,1,https://www.tungs-acupuncture.com/木炎一穴/
21,木炎二穴,1,https://www.tungs-acupuncture.com/木炎二穴/
22,木炎三穴,1,https://www.tungs-acupuncture.com/木炎三穴/
23,失枕穴,1,https://www.tungs-acupuncture.com/失枕穴/
24,踝靈穴,1,https://www.tungs-acupuncture.com/踝靈穴/
25,婦科五穴,1,https://www.tungs-acupuncture.com/婦科五穴/
26,木火四穴,1,https://www.tungs-acupuncture.com/木火四穴/
27,止涎五穴,1,https://www.tungs-acupuncture.com/止涎五穴/
28,制污穴,1,https://www.tungs-acupuncture.com/制污穴/
29,指駟馬穴,1,https://www.tungs-acupuncture.com/指駟馬穴/
30,膽穴,1,https://www.tungs-acupuncture.com/膽穴/
31,二角明穴,1,https://www.tungs-acupuncture.com/二角明穴/
32,心膝穴,1,https://www.tungs-acupuncture.com/心膝穴/
33,肺心穴,1,https://www.tungs-acupuncture.com/肺心穴/
34,指腎穴,1,https://www.tungs-acupuncture.com/指腎穴/
35,珠圓穴,1,https://www.tungs-acupuncture.com/珠圓穴/
36,指三重穴,1,https://www.tungs-acupuncture.com/指三重穴/
37,少白穴,1,https://www.tungs-acupuncture.com/少白穴/
38,開脾穴,1,https://www.tungs-acupuncture.com/開脾穴/
39,分水穴,1,https://www.tungs-acupuncture.com/分水穴/
40,水清穴,1,https://www.tungs-acupuncture.com/水清穴/
41,水海穴,1,https://www.tungs-acupuncture.com/水海穴/
42,水源穴,1,https://www.tungs-acupuncture.com/水源穴/
43,水腰穴,1,https://www.tungs-acupuncture.com/水腰穴/
44,靈骨穴,2,https://www.tungs-acupuncture.com/靈骨穴/
45,大白穴,2,https://www.tungs-acupuncture.com/大白穴/
46,重子穴,2,https://www.tungs-acupuncture.com/重子穴/
47,重仙穴,2,https://www.tungs-acupuncture.com/重仙穴/
48,土水穴,2,https://www.tungs-acupuncture.com/土水穴/
49,中白穴,2,https://www.tungs-acupuncture.com/中白穴/
50,下白穴,2,https://www.tungs-acupuncture.com/下白穴/
51,內白穴,2,https://www.tungs-acupuncture.com/內白穴/
52,外白穴,2,https://www.tungs-acupuncture.com/外白穴/
53,上白穴,2,https://www.tungs-acupuncture.com/上白穴/
54,分白穴,2,https://www.tungs-acupuncture.com/分白穴/
55,重魁穴,2,https://www.tungs-acupuncture.com/重魁穴/
56,手解穴,2,https://www.tungs-acupuncture.com/手解穴/
57,上高穴,2,https://www.tungs-acupuncture.com/上高穴、下高穴/
58,下高穴,2,https://www.tungs-acupuncture.com/上高穴、下高穴/
59,三河穴,2,https://www.tungs-acupuncture.com/三河穴/
60,骨關穴,2,https://www.tungs-acupuncture.com/骨關穴/
61,木關穴,2,https://www.tungs-acupuncture.com/木關穴/
62,腕順一穴,2,https://www.tungs-acupuncture.com/腕順一穴/
63,腕順二穴,2,https://www.tungs-acupuncture.com/腕順二穴/
64,三叉一穴,2,https://www.tungs-acupuncture.com/三叉一穴/
65,三叉二穴,2,https://www.tungs-acupuncture.com/三叉二穴/
66,三叉三穴,2,https://www.tungs-acupuncture.com/三叉三穴/
67,其門穴,3,https://www.tungs-acupuncture.com/其門穴、其角穴、其正穴/
68,其角穴,3,https://www.tungs-acupuncture.com/其門穴、其角穴、其正穴/
69,其正穴,3,https://www.tungs-acupuncture.com/其門穴、其角穴、其正穴/
70,心靈一穴,3,https://www.tungs-acupuncture.com/心靈一穴、心靈二穴、心靈三穴/
71,心靈二穴,3,https://www.tungs-acupuncture.com/心靈一穴、心靈二穴、心靈三穴/
72,心靈三穴,3,https://www.tungs-acupuncture.com/心靈一穴、心靈二穴、心靈三穴/
73,火串穴,3,https://www.tungs-acupuncture.com/火串穴、火陵穴、火山穴/
74,火陵穴,3,https://www.tungs-acupuncture.com/火串穴、火陵穴、火山穴/
75,火山穴,3,https://www.tungs-acupuncture.com/火串穴、火陵穴、火山穴/
76,火腑海穴,3,https://www.tungs-acupuncture.com/火腑海穴/
77,手五金穴,3,https://www.tungs-acupuncture.com/手五金穴、手千金穴/
78,手千金穴,3,https://www.tungs-acupuncture.com/手五金穴、手千金穴/
79,腸門穴,3,https://www.tungs-acupuncture.com/腸門穴/
80,肝門穴,3,https://www.tungs-acupuncture.com/肝門穴/
81,心門穴,3,https://www.tungs-acupuncture.com/心門穴/
82,人士穴,3,https://www.tungs-acupuncture.com/人士穴/
83,地士穴,3,https://www.tungs-acupuncture.com/地士穴/
84,天士穴,3,https://www.tungs-acupuncture.com/天士穴/
85,喉靈穴,3,https://www.tungs-acupuncture.com/喉靈穴/
86,喉中穴,3,https://www.tungs-acupuncture.com/喉中穴/
87,肝靈穴,3,https://www.tungs-acupuncture.com/肝靈穴/
88,曲陵穴,3,https://www.tungs-acupuncture.com/曲陵穴、建力穴、中力穴/
89,建力穴,3,https://www.tungs-acupuncture.com/曲陵穴、建力穴、中力穴/
90,中力穴,3,https://www.tungs-acupuncture.com/曲陵穴、建力穴、中力穴/
91,分金穴,4,https://www.tungs-acupuncture.com/分金穴、合金穴、內金穴/
92,合金穴,4,https://www.tungs-acupuncture.com/分金穴、合金穴、內金穴/
93,內金穴,4,https://www.tungs-acupuncture.com/分金穴、合金穴、內金穴/
94,肩中穴,4,https://www.tungs-acupuncture.com/肩中穴、建中穴/
95,建中穴,4,https://www.tungs-acupuncture.com/肩中穴、建中穴/
96,背面穴,4,https://www.tungs-acupuncture.com/背面穴/
97,人宗穴,4,https://www.tungs-acupuncture.com/人宗穴/
98,地宗穴,4,https://www.tungs-acupuncture.com/地宗穴/
99,天宗穴,4,https://www.tungs-acupuncture.com/天宗穴/
100,肩峰穴,4,https://www.tungs-acupuncture.com/肩峰穴/
101,雲白穴,4,https://www.tungs-acupuncture.com/雲白穴/
102,李白穴,4,https://www.tungs-acupuncture.com/李白穴/
103,神肩穴,4,https://www.tungs-acupuncture.com/神肩穴/
104,正脊一穴,4,https://www.tungs-acupuncture.com/正脊一穴、正脊二穴、正脊三穴/
105,正脊二穴,4,https://www.tungs-acupuncture.com/正脊一穴、正脊二穴、正脊三穴/
106,正脊三穴,4,https://www.tungs-acupuncture.com/正脊一穴、正脊二穴、正脊三穴/
107,三神穴,4,https://www.tungs-acupuncture.com/三神穴/
