,code,en_name,ch_name
0,S00,Superficial injury of head,頭部表淺損傷
1,S000,Superficial injury if scalp,頭皮表淺損傷
2,S0000,Unspecified superficial injury of scalp,頭皮表淺損傷
3,S0000xA,"Unspecified superficial injury of scalp, initial encounter",頭皮表淺損傷之初期照護
4,S0000xD,"Unspecified superficial injury of scalp, subsequent encounter",頭皮表淺損傷之後續照護
5,S0000xS,"Unspecified superficial injury of scalp, sequela",頭皮表淺損傷之後遺症
6,S0001,Abrasion of scalp,頭皮擦傷
7,S0001xA,"Abrasion of scalp, initial encounter",頭皮擦傷之初期照護
8,S0001xD,"Abrasion of scalp, subsequent encounter",頭皮擦傷之後續照護
9,S0001xS,"Abrasion of scalp, sequela",頭皮擦傷之後遺症
10,S0002,Blister (nonthermal) of scalp,頭皮水泡(非熱性)
11,S0002xA,"Blister (nonthermal) of scalp, initial encounter",頭皮水泡(非熱性)之初期照護
12,S0002xD,"Blister (nonthermal) of scalp, subsequent encounter",頭皮水泡(非熱性)之後續照護
13,S0002xS,"Blister (nonthermal) of scalp, sequela",頭皮水泡(非熱性)之後遺症
14,S0003,Contusion of scalp,頭皮鈍傷
15,S0003xA,"Contusion of scalp, initial encounter",頭皮鈍傷之初期照護
16,S0003xD,"Contusion of scalp, subsequent encounter",頭皮鈍傷之後續照護
17,S0003xS,"Contusion of scalp, sequela",頭皮鈍傷之後遺症
18,S0004,External constriction of part of scalp,部份頭皮外在攣縮
19,S0004xA,"External constriction of part of scalp, initial encounter",部份頭皮外在攣縮初期照護
20,S0004xD,"External constriction of part of scalp, subsequent encounter",部份頭皮外在攣縮之後續照護
21,S0004xS,"External constriction of part of scalp, sequela",部份頭皮外在攣縮之後遺症
22,S0005,Superficial foreign body of scalp,頭皮表淺性異物
23,S0005xA,"Superficial foreign body of scalp, initial encounter",頭皮表淺性異物之初期照護
24,S0005xD,"Superficial foreign body of scalp, subsequent encounter",頭皮表淺性異物之後續照護
25,S0005xS,"Superficial foreign body of scalp, sequela",頭皮表淺性異物之後遺症
26,S0006,Insect bite (nonvenomous) of scalp,頭皮昆蟲叮咬(無毒性)
27,S0006xA,"Insect bite (nonvenomous) of scalp, initial encounter",頭皮昆蟲叮咬(無毒性)之初期照護
28,S0006xD,"Insect bite (nonvenomous) of scalp, subsequent encounter",頭皮昆蟲叮咬(無毒性)之後續照護
29,S0006xS,"Insect bite (nonvenomous) of scalp, sequela",頭皮昆蟲叮咬(無毒性)之後遺症
30,S0007,Other superficial bite of scalp,頭皮其他表淺性叮咬
31,S0007xA,"Other superficial bite of scalp, initial encounter",頭皮其他表淺性叮咬之初期照護
32,S0007xD,"Other superficial bite of scalp, subsequent encounter",頭皮其他表淺性叮咬之後續照護
33,S0007xS,"Other superficial bite of scalp, sequela",頭皮其他表淺性叮咬之後遺症
34,S001,Contusion of eyelid and periocular area,眼瞼及眼周圍區域鈍傷
35,S0010,Contusion of unspecified eyelid and periocular area,未特定側性眼瞼及眼周圍區域鈍傷
36,S0010xA,"Contusion of unspecified eyelid and periocular area, initial encounter",未特定側性眼瞼及眼周圍區域鈍傷之初期照護
37,S0010xD,"Contusion of unspecified eyelid and periocular area, subsequent encounter",未特定側性眼瞼及眼周圍區域鈍傷之後續照護
38,S0010xS,"Contusion of unspecified eyelid and periocular area, sequela",未特定側性眼瞼及眼周圍區域鈍傷之後遺症
39,S0011,Contusion of right eyelid and periocular area,右側眼瞼及眼周圍區域鈍傷
40,S0011xA,"Contusion of right eyelid and periocular area, initial encounter",右側眼瞼及眼周圍區域鈍傷之初期照護
41,S0011xD,"Contusion of right eyelid and periocular area, subsequent encounter",右側眼瞼及眼周圍區域鈍傷之後續照護
42,S0011xS,"Contusion of right eyelid and periocular area, sequela",右側眼瞼及眼周圍區域鈍傷之後遺症
43,S0012,Contusion of left eyelid and periocular area,左側眼瞼及眼周圍區域鈍傷
