id,MedicineType,MedicineName,MedicineBopomoCode,MedicineNHIID,MedicineNHIName,MedicineManufacturer,MedicineCost,MedicinePrice,MedicineUnit,MedicineInfo
1,單方,丁香,ㄉ,,,,,,克,
2,單方,人參,ㄖ,,,,,,克,
3,單方,三七,ㄙ,,,,,,克,
4,單方,三稜,ㄙ,,,,,,克,
5,單方,土茯苓,ㄊ,,,,,,克,
6,單方,大青葉,ㄉ,,,,,,克,
7,單方,大棗,ㄉ,,,,,,克,
8,單方,大黃(錦),ㄉ,,,,,,克,
9,單方,大腹皮,ㄉ,,,,,,克,
10,單方,女貞子,ㄋ,,,,,,克,
11,單方,小茴香,ㄒ,,,,,,克,
12,單方,山豆根,ㄕ,,,,,,克,
13,單方,山茱萸,ㄕ,,,,,,克,
14,單方,山楂,ㄕ,,,,,,克,
15,單方,山葡萄,ㄕ,,,,,,克,
16,單方,山藥,ㄕ,,,,,,克,
17,單方,川牛膝,ㄔ,,,,,,克,
18,單方,川芎,ㄔ,,,,,,克,
19,單方,川棟子,ㄔ,,,,,,克,
20,單方,丹參(川),ㄉ,,,,,,克,
21,單方,五加皮,ㄨ,,,,,,克,
22,單方,五味子(北),ㄨ,,,,,,克,
23,單方,五靈脂,ㄨ,,,,,,克,
24,單方,化石草,ㄏ,,,,,,克,
25,單方,升麻,ㄕ,,,,,,克,
26,單方,天花粉,ㄊ,,,,,,克,
27,單方,天門冬,ㄊ,,,,,,克,
28,單方,天麻(川),ㄊ,,,,,,克,
29,單方,巴戟天,ㄅ,,,,,,克,
30,單方,木瓜,ㄇ,,,,,,克,
31,單方,木香(雲),ㄇ,,,,,,克,
32,單方,木通,ㄇ,,,,,,克,
33,單方,木賊,ㄇ,,,,,,克,
34,單方,毛冬青,ㄇ,,,,,,克,
35,單方,水丁香,ㄕ,,,,,,克,
36,單方,火麻仁,ㄏ,,,,,,克,
37,單方,牛蒡子,ㄋ,,,,,,克,
38,單方,牛樟芝,ㄋ,,,,,,克,
39,單方,牛樟芝膠囊(800粒),ㄋ,,,,,,粒,
40,單方,王不留行,ㄨ,,,,,,克,
41,單方,仙鶴草,ㄒ,,,,,,克,
42,單方,冬瓜子,ㄉ,,,,,,克,
43,單方,冬蟲夏草,ㄉ,,,,,,克,
44,單方,北沙參,ㄅ,,,,,,克,
45,單方,北黃耆,ㄅ,,,,,,克,
46,單方,半枝蓮,ㄅ,,,,,,克,
47,單方,半夏(川),ㄅ,,,,,,克,
48,單方,玄參,ㄒ,,,,,,克,
49,單方,玉竹,ㄩ,,,,,,克,
50,單方,玉米鬚,ㄩ,,,,,,克,
51,單方,甘草,ㄍ,,,,,,克,
52,單方,生地黃,ㄕ,,,,,,克,
53,單方,生薑,ㄕ,,,,,,克,
54,單方,白及,ㄅ,,,,,,克,
55,單方,白朮(浙),ㄅ,,,,,,克,
56,單方,白芍(川),ㄅ,,,,,,克,
57,單方,白豆蔻,ㄅ,,,,,,克,
58,單方,白果,ㄅ,,,,,,克,
59,單方,白芥子,ㄅ,,,,,,克,
60,單方,白花蛇舌草,ㄅ,,,,,,克,
61,單方,白芷(川),ㄅ,,,,,,克,
62,單方,白前,ㄅ,,,,,,克,
63,單方,白扁豆,ㄅ,,,,,,克,
64,單方,白茅根,ㄅ,,,,,,克,
65,單方,白鮮皮,ㄅ,,,,,,克,
66,單方,石決明,ㄕ,,,,,,克,
67,單方,石斛,ㄕ,,,,,,克,
68,單方,石菖蒲,ㄕ,,,,,,克,
69,單方,石膏,ㄕ,,,,,,克,
70,單方,合歡皮,ㄏ,,,,,,克,
71,單方,地骨皮,ㄉ,,,,,,克,
72,單方,地榆,ㄉ,,,,,,克,
73,單方,地榆炭,ㄉ,,,,,,克,
74,單方,地膚子,ㄉ,,,,,,克,
75,單方,地龍,ㄉ,,,,,,克,
76,單方,百合,ㄅ,,,,,,克,
77,單方,百部,ㄅ,,,,,,克,
78,單方,竹茹,ㄓ,,,,,,克,
79,單方,肉豆蒄,ㄖ,,,,,,克,
80,單方,肉桂,ㄖ,,,,,,克,
81,單方,肉蓯蓉,ㄖ,,,,,,克,
82,單方,艾葉,ㄞ,,,,,,克,
83,單方,血竭,ㄒ,,,,,,克,
84,單方,西洋參,ㄒ,,,,,,克,
85,單方,何首烏,ㄏ,,,,,,克,
86,單方,吳茱萸,ㄨ,,,,,,克,
87,單方,旱蓮草(墨),ㄏ,,,,,,克,
88,單方,杏仁,ㄒ,,,,,,克,
89,單方,杜仲,ㄉ,,,,,,克,
90,單方,杜仲葉,ㄉ,,,,,,克,
91,單方,決明子,ㄐ,,,,,,克,
92,單方,沒藥,ㄇ,,,,,,克,
93,單方,牡丹皮(蘇),ㄇ,,,,,,克,
94,單方,牡蠣,ㄇ,,,,,,克,
95,單方,皂角刺,ㄗ,,,,,,克,
96,單方,芒硝,ㄇ,,,,,,克,
97,單方,貝母,ㄅ,,,,,,克,
98,單方,赤小豆,ㄔ,,,,,,克,
99,單方,赤芍,ㄔ,,,,,,克,
100,單方,車前子,ㄔ,,,,,,克,
101,單方,車前草,ㄔ,,,,,,克,
102,單方,辛夷,ㄒ,,,,,,克,
103,單方,防風,ㄈ,,,,,,克,
104,單方,乳香,ㄖ,,,,,,克,
105,單方,刺五加,ㄘ,,,,,,克,
106,單方,夜交藤,ㄧ,,,,,,克,
107,單方,延胡索,ㄧ,,,,,,克,
108,單方,板藍根,ㄅ,,,,,,克,
109,單方,枇杷葉,ㄆ,,,,,,克,
